2026-09-12,AUDUSD Curncy,Offshore,Call,0.72,2027-04-16,-18000000,-5000000,800000,-1800000,90000000,AUD,-30000,Sea-3,G10,VanillaOption,2026-08-15,SEA1CS
2026-09-12,GBPUSD Curncy,Offshore,Put,1.25,2026-11-20,-22000000,6000000,-1000000,2000000,,GBP,20000,Single,G10,VanillaOption,2026-08-20,VAN1
2026-09-12,NZDUSD Curncy,Offshore,Call,0.60,2027-06-18,15000000,4000000,-700000,1400000,50000000,NZD,10000,Mix-A,Beta,VanillaOption,2026-09-01,AMB1
2026-09-12,NZDUSD Curncy,Offshore,Call,0.61,2027-06-18,14000000,4000000,-700000,1400000,50000000,NZD,5000,Mix-B,Beta,VanillaOption,2026-09-01,AMB2
2026-09-12,NZDUSD Curncy,Offshore,Call,0.65,2027-06-18,-10000000,-3000000,500000,-1000000,50000000,NZD,-7000,Mix-C,Beta,VanillaOption,2026-09-01,AMB3
2026-09-12,NZDUSD Curncy,Offshore,Call,0.66,2027-06-18,-9000000,-3000000,500000,-1000000,50000000,NZD,-3000,Mix-D,Beta,VanillaOption,2026-09-01,AMB4
2026-09-12,EURGBP Curncy,Offshore,Put,0.78,2027-05-21,-12000000,4000000,-600000,1200000,50000000,EUR,10000,RR4-A,Book-1,VanillaOption,2026-09-03,LRR1PL
2026-09-12,EURGBP Curncy,Offshore,Put,0.82,2027-05-21,18000000,-5000000,800000,-1500000,50000000,EUR,-15000,RR4-B,Book-2,VanillaOption,2026-09-03,LRR1PS
2026-09-12,EURGBP Curncy,Offshore,Call,0.86,2027-05-21,24000000,6000000,-900000,1800000,50000000,EUR,25000,RR4-C,Book-3,VanillaOption,2026-09-03,LRR1CL
2026-09-12,EURGBP Curncy,Offshore,Call,0.90,2027-05-21,-11000000,-4000000,600000,-1200000,50000000,EUR,-10000,RR4-D,Book-4,VanillaOption,2026-09-08,LRR1CS
2026-09-12,EURCHF Curncy,Offshore,Put,0.91,2027-07-16,13000000,-4000000,600000,-1200000,40000000,EUR,-8000,RR4-E,Book-A,VanillaOption,2026-09-04,SRR1PS
2026-09-12,EURCHF Curncy,Offshore,Put,0.95,2027-07-16,-19000000,5000000,-800000,1500000,40000000,EUR,12000,RR4-F,Book-B,VanillaOption,2026-09-04,SRR1PL
2026-09-12,EURCHF Curncy,Offshore,Call,0.99,2027-07-16,-22000000,-6000000,900000,-1800000,40000000,EUR,-18000,RR4-G,Book-C,VanillaOption,2026-09-04,SRR1CS
2026-09-12,EURCHF Curncy,Offshore,Call,1.03,2027-07-16,10000000,4000000,-600000,1200000,40000000,EUR,7000,RR4-H,Book-D,VanillaOption,2026-09-04,SRR1CL
2026-09-22,EURUSD Curncy,Offshore,Call,1.10,2026-12-18,45000000,12000000,-2000000,4000000,100000000,EUR,300000,Random-A,Alpha,VanillaOption,2026-08-01,CS1L
2026-09-22,EURUSD Curncy,Offshore,Call,1.15,2026-12-18,-25000000,-10000000,1500000,-3500000,100000000,EUR,-150000,Random-B,CrossBook,VanillaOption,2026-08-01,CS1S
2026-09-22,USDJPY Curncy,Offshore,Call,152,2027-03-19,30000000,8000000,-1500000,3000000,80000000,USD,120000,Noise-1,Macro,VanillaOption,2026-08-05,RR1C
2026-09-22,USDJPY Curncy,Offshore,Put,140,2027-03-19,20000000,-7000000,1200000,-2800000,80000000,USD,-80000,Noise-2,Macro,VanillaOption,2026-08-05,RR1P
2026-09-22,USDZAR Curncy,Offshore,Call,17,2027-01-15,40000000,10000000,-1800000,3200000,100000000,USD,200000,Position-X,EM,VanillaOption,2026-08-08,RCS1L
2026-09-22,USDZAR Curncy,Offshore,Call,19,2027-01-15,-50000000,-16000000,2800000,-5500000,200000000,USD,-240000,Position-Y,EM,VanillaOption,2026-08-08,RCS1S
2026-09-22,USDCNH Curncy,Offshore,Call,7.1,2027-02-26,30000000,9000000,-1200000,2500000,60000000,USD,110000,Ladder-A,Asia,VanillaOption,2026-08-12,LAD1A
2026-09-22,USDCNH Curncy,Offshore,Call,7.3,2027-02-26,-18000000,-7000000,900000,-2000000,60000000,USD,-60000,Ladder-B,Asia,VanillaOption,2026-08-12,LAD1B
2026-09-22,USDCNH Curncy,Offshore,Call,7.5,2027-02-26,-8000000,-4000000,500000,-1200000,60000000,USD,-30000,Ladder-C,Asia,VanillaOption,2026-08-12,LAD1C
2026-09-22,AUDUSD Curncy,Offshore,Put,0.64,2027-04-16,20000000,-6000000,1000000,-2000000,90000000,AUD,-50000,Sea-1,G10,VanillaOption,2026-08-15,SEA1P
2026-09-22,AUDUSD Curncy,Offshore,Call,0.68,2027-04-16,35000000,9000000,-1500000,3000000,90000000,AUD,140000,Sea-2,G10,VanillaOption,2026-08-15,SEA1CL
2026-09-22,AUDUSD Curncy,Offshore,Call,0.72,2027-04-16,-18000000,-5000000,800000,-1800000,90000000,AUD,-70000,Sea-3,G10,VanillaOption,2026-08-15,SEA1CS
2026-09-22,GBPUSD Curncy,Offshore,Put,1.25,2026-11-20,-22000000,6000000,-1000000,2000000,,GBP,50000,Single,G10,VanillaOption,2026-08-20,VAN1
2026-09-22,NZDUSD Curncy,Offshore,Call,0.60,2027-06-18,15000000,4000000,-700000,1400000,50000000,NZD,30000,Mix-A,Beta,VanillaOption,2026-09-01,AMB1
2026-09-22,NZDUSD Curncy,Offshore,Call,0.61,2027-06-18,14000000,4000000,-700000,1400000,50000000,NZD,25000,Mix-B,Beta,VanillaOption,2026-09-01,AMB2
2026-09-22,NZDUSD Curncy,Offshore,Call,0.65,2027-06-18,-10000000,-3000000,500000,-1000000,50000000,NZD,-20000,Mix-C,Beta,VanillaOption,2026-09-01,AMB3
2026-09-22,NZDUSD Curncy,Offshore,Call,0.66,2027-06-18,-9000000,-3000000,500000,-1000000,50000000,NZD,-15000,Mix-D,Beta,VanillaOption,2026-09-01,AMB4
2026-09-22,EURGBP Curncy,Offshore,Put,0.78,2027-05-21,-12000000,4000000,-600000,1200000,50000000,EUR,30000,RR4-A,Book-1,VanillaOption,2026-09-03,LRR1PL
2026-09-22,EURGBP Curncy,Offshore,Put,0.82,2027-05-21,18000000,-5000000,800000,-1500000,50000000,EUR,-45000,RR4-B,Book-2,VanillaOption,2026-09-03,LRR1PS
2026-09-22,EURGBP Curncy,Offshore,Call,0.86,2027-05-21,24000000,6000000,-900000,1800000,50000000,EUR,70000,RR4-C,Book-3,VanillaOption,2026-09-03,LRR1CL
2026-09-22,EURGBP Curncy,Offshore,Call,0.90,2027-05-21,-11000000,-4000000,600000,-1200000,50000000,EUR,-25000,RR4-D,Book-4,VanillaOption,2026-09-08,LRR1CS
2026-09-22,EURCHF Curncy,Offshore,Put,0.91,2027-07-16,13000000,-4000000,600000,-1200000,40000000,EUR,-22000,RR4-E,Book-A,VanillaOption,2026-09-04,SRR1PS
2026-09-22,EURCHF Curncy,Offshore,Put,0.95,2027-07-16,-19000000,5000000,-800000,1500000,40000000,EUR,35000,RR4-F,Book-B,VanillaOption,2026-09-04,SRR1PL
2026-09-22,EURCHF Curncy,Offshore,Call,0.99,2027-07-16,-22000000,-6000000,900000,-1800000,40000000,EUR,-50000,RR4-G,Book-C,VanillaOption,2026-09-04,SRR1CS
2026-09-22,EURCHF Curncy,Offshore,Call,1.03,2027-07-16,10000000,4000000,-600000,1200000,40000000,EUR,20000,RR4-H,Book-D,VanillaOption,2026-09-04,SRR1CL
